player_id,player_name,sport,country,performance_score
1,Virat Kohli,Cricket,India,82
2,Rohit Sharma,Cricket,India,76
3,Jasprit Bumrah,Cricket,India,55
4,Neeraj Chopra,Athletics,India,88
5,PV Sindhu,Badminton,India,79
6,Saina Nehwal,Badminton,India,68
7,Sunil Chhetri,Football,India,72
8,Manpreet Singh,Hockey,India,64
9,Dhanraj Pillay,Hockey,India,61
10,Abhinav Bindra,Shooting,India,91
11,Mary Kom,Boxing,India,84
12,Lovlina Borgohain,Boxing,India,70
13,Ravichandran Ashwin,Cricket,India,74
14,Smriti Mandhana,Cricket,India,81
15,Harmanpreet Kaur,Cricket,India,77
16,Mirabai Chanu,Weightlifting,India,86
17,Avinash Sable,Athletics,India,73
18,Lakshya Sen,Badminton,India,75
19,Yuvraj Singh,Cricket,India,80
20,Gurjit Kaur,Hockey,India,66
21,Sachin Tendulkar,Cricket,India,93
22,Leander Paes,Tennis,India,89
23,Pankaj Advani,Billiards,India,87
24,Hima Das,Athletics,India,69
25,Sakshi Malik,Wrestling,India,71
26,Bajrang Punia,Wrestling,India,83
27,Sushil Kumar,Wrestling,India,85
28,Vijender Singh,Boxing,India,78
29,Dutee Chand,Athletics,India,65
30,Rani Rampal,Hockey,India,80
